danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.686,0.382,10.0,-9.37,1.0,0.0319,0.518,3.63e-05,0.104,0.273,132.961,audio_features,1lpGZsdPKVTwAKJKn8ajRj,spotify:track:1lpGZsdPKVTwAKJKn8ajRj,https://api.spotify.com/v1/tracks/1lpGZsdPKVTwAKJKn8ajRj,https://api.spotify.com/v1/audio-analysis/1lpGZsdPKVTwAKJKn8ajRj,203307.0,4.0,
0.623,0.414,7.0,-9.153,1.0,0.0503,0.684,9.25e-06,0.098,0.155,123.916,audio_features,4m8y4PB1b4hKvd77jHQYTD,spotify:track:4m8y4PB1b4hKvd77jHQYTD,https://api.spotify.com/v1/tracks/4m8y4PB1b4hKvd77jHQYTD,https://api.spotify.com/v1/audio-analysis/4m8y4PB1b4hKvd77jHQYTD,235347.0,4.0,
0.787,0.493,5.0,-7.529,1.0,0.0339,0.389,3.61e-06,0.121,0.425,94.999,audio_features,6s7UPzjbDc1S40Z0M6KU5t,spotify:track:6s7UPzjbDc1S40Z0M6KU5t,https://api.spotify.com/v1/tracks/6s7UPzjbDc1S40Z0M6KU5t,https://api.spotify.com/v1/audio-analysis/6s7UPzjbDc1S40Z0M6KU5t,228000.0,1.0,
0.727,0.398,6.0,-8.498,1.0,0.0461,0.64,0.00114,0.124,0.31,75.087,audio_features,49liKK39egdl6UhhhLmROq,spotify:track:49liKK39egdl6UhhhLmROq,https://api.spotify.com/v1/tracks/49liKK39egdl6UhhhLmROq,https://api.spotify.com/v1/audio-analysis/49liKK39egdl6UhhhLmROq,177773.0,4.0,
0.317,0.696,11.0,-7.844,1.0,0.0512,0.607,0.00086,0.108,0.68,144.95,audio_features,0Ppp8AhUasTiQxp4RHwyj5,spotify:track:0Ppp8AhUasTiQxp4RHwyj5,https://api.spotify.com/v1/tracks/0Ppp8AhUasTiQxp4RHwyj5,https://api.spotify.com/v1/audio-analysis/0Ppp8AhUasTiQxp4RHwyj5,251747.0,4.0,
0.616,0.46,9.0,-9.968,1.0,0.0338,0.677,5.46e-05,0.11,0.277,113.828,audio_features,7155kWXSJ9YriJdr4OGQbd,spotify:track:7155kWXSJ9YriJdr4OGQbd,https://api.spotify.com/v1/tracks/7155kWXSJ9YriJdr4OGQbd,https://api.spotify.com/v1/audio-analysis/7155kWXSJ9YriJdr4OGQbd,173307.0,4.0,
0.596,0.216,4.0,-10.497,1.0,0.0413,0.941,3.3e-05,0.0954,0.284,130.508,audio_features,3lbmdgYRVc3MkhSAu4xkTd,spotify:track:3lbmdgYRVc3MkhSAu4xkTd,https://api.spotify.com/v1/tracks/3lbmdgYRVc3MkhSAu4xkTd,https://api.spotify.com/v1/audio-analysis/3lbmdgYRVc3MkhSAu4xkTd,320340.0,4.0,
0.757,0.185,3.0,-9.339,1.0,0.0389,0.678,0.0,0.35,0.3,105.004,audio_features,65Wg7hcSgu8Tinb5en9iwq,spotify:track:65Wg7hcSgu8Tinb5en9iwq,https://api.spotify.com/v1/tracks/65Wg7hcSgu8Tinb5en9iwq,https://api.spotify.com/v1/audio-analysis/65Wg7hcSgu8Tinb5en9iwq,221779.0,4.0,
0.237,0.658,4.0,-7.813,1.0,0.0335,0.136,3e-05,0.142,0.267,158.351,audio_features,0MzwKLv7SfUAim7yfsh8D8,spotify:track:0MzwKLv7SfUAim7yfsh8D8,https://api.spotify.com/v1/tracks/0MzwKLv7SfUAim7yfsh8D8,https://api.spotify.com/v1/audio-analysis/0MzwKLv7SfUAim7yfsh8D8,280827.0,4.0,
0.676,0.454,9.0,-10.149,0.0,0.0367,0.335,0.0,0.116,0.508,113.962,audio_features,0nLQNxCdGHJowCap24JRtP,spotify:track:0nLQNxCdGHJowCap24JRtP,https://api.spotify.com/v1/tracks/0nLQNxCdGHJowCap24JRtP,https://api.spotify.com/v1/audio-analysis/0nLQNxCdGHJowCap24JRtP,207053.0,4.0,
