name,id,artist_popularity,artist_genre,artist_track,likable
The Offspring,5LfGQac0EIXyAN8aUwmNAQ,79,"['alternative metal', 'permanent wave', 'punk', 'rock', 'skate punk', 'socal pop punk']",5LfGQac0EIXyAN8aUwmNAQ,1
The Rare Occasions,1QfpRUtH14JLoY6F6AYmwt,74,['la indie'],1QfpRUtH14JLoY6F6AYmwt,1
Arlie,6Bllzm0olEwqGwPujaLiuA,56,"['indie pop', 'modern rock']",6Bllzm0olEwqGwPujaLiuA,1
Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,75,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",4MVyzYMgTwdP7Z49wAZHx0,1
Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,83,['modern rock'],20JZFwl6HVl6yg8a4H3ZqK,1
Aer,25hbSOMmbhgqvonjC876UJ,55,"['indie pop rap', 'pop rap']",25hbSOMmbhgqvonjC876UJ,1
Nine Days,306JHpIRGVaQd6OltnOzUO,55,"['neo mellow', 'pop rock']",306JHpIRGVaQd6OltnOzUO,1
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,71,"['baroque pop', 'indie rock', 'modern rock']",5BvJzeQpmsdsFp4HGUYUEx,1
Chicago,3iDD7bnsjL9J4fO298r0L0,72,"['adult standards', 'album rock', 'classic rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",3iDD7bnsjL9J4fO298r0L0,1
Caamp,0wyMPXGfOuQzNR54ujR9Ix,71,"['indie folk', 'stomp and holler']",0wyMPXGfOuQzNR54ujR9Ix,1
Vampire Weekend,5BvJzeQpmsdsFp4HGUYUEx,71,"['baroque pop', 'indie rock', 'modern rock']",5BvJzeQpmsdsFp4HGUYUEx,1
Family of the Year,7zsin6IgVsR1rqSRCNYDwq,56,['stomp and holler'],7zsin6IgVsR1rqSRCNYDwq,1
Arcade Fire,3kjuyTCjPG1WMFCiyc5IuB,71,"['alternative dance', 'alternative rock', 'baroque pop', 'canadian indie', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'permanent wave', 'quebec indie', 'rock', 'stomp and holler']",3kjuyTCjPG1WMFCiyc5IuB,1
Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,88,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",7Ln80lUS6He07XvHI8qqHH,1
Hudson Thames,3AoNmoBJyEsBxlAjhrdxtw,44,['la pop'],3AoNmoBJyEsBxlAjhrdxtw,1
JR JR,3VAxb3UskTNiHAKh4UeOEv,49,"['indie poptimism', 'indie rock', 'modern rock', 'shimmer pop', 'stomp and holler']",3VAxb3UskTNiHAKh4UeOEv,1
Jimmy Eat World,3Ayl7mCk0nScecqOzvNp6s,71,"['alternative rock', 'emo', 'modern power pop', 'modern rock', 'pop punk', 'pop rock', 'rock']",3Ayl7mCk0nScecqOzvNp6s,1
Old 97's,27AzFtMZhRN78bAMPntbpF,49,"['alternative country', 'alternative rock', 'country rock', 'dallas indie', 'folk', 'indie folk', 'new americana', 'power pop', 'roots rock', 'stomp and holler']",27AzFtMZhRN78bAMPntbpF,1
Rex Orange County,7pbDxGE6nQSZVfiFdq9lOL,83,"['bedroom pop', 'pop']",7pbDxGE6nQSZVfiFdq9lOL,1
The Magic Gang,52pNByiBWx6SVMMqqcCA74,48,"['brighton indie', 'english indie rock', 'modern alternative rock', 'modern rock']",52pNByiBWx6SVMMqqcCA74,1
CHVRCHES,3CjlHNtplJyTf9npxaPl5w,69,"['electropop', 'indie pop', 'indie poptimism', 'metropopolis', 'neo-synthpop', 'pop rock', 'shimmer pop']",3CjlHNtplJyTf9npxaPl5w,1
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,79,"['modern rock', 'punk blues', 'rock']",26T3LtbuGT1Fu9m0eRq5X3,1
Maroon 5,04gDigrS5kc9YWfZHwBETP,90,"['pop', 'pop rock']",04gDigrS5kc9YWfZHwBETP,1
Mumford & Sons,3gd8FJtBJtkRxdfbTu19U2,76,"['modern folk rock', 'modern rock', 'pop rock', 'stomp and holler', 'uk americana']",3gd8FJtBJtkRxdfbTu19U2,1
The Happy Fits,73rPcaYEhBd0UuVZBqqyQJ,61,"['indie pop', 'modern alternative rock', 'modern folk rock', 'modern rock', 'new jersey indie']",73rPcaYEhBd0UuVZBqqyQJ,1
MisterWives,5ivCbtrcD5N4rD337xIb2z,65,"['electropop', 'indie poptimism', 'modern rock', 'nyc pop', 'pop rock', 'stomp and holler']",5ivCbtrcD5N4rD337xIb2z,1
Fink,2t9yJDJIEtvPmr2iRIdqBf,58,['ninja'],2t9yJDJIEtvPmr2iRIdqBf,1
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,81,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",16oZKvXb6WkQlVAjwo2Wbg,1
Lake Street Dive,3nuc29fYGlQbIrwh4yrNWd,66,"['boston rock', 'new americana']",3nuc29fYGlQbIrwh4yrNWd,1
The Fratellis,3M4ThdJR28z9eSMcQHAZ5G,65,"['alternative rock', 'garage rock', 'modern rock', 'rock', 'scottish rock']",3M4ThdJR28z9eSMcQHAZ5G,1
The Vaccines,0Ak6DLKHtpR6TEEnmcorKA,65,"['indie rock', 'modern alternative rock', 'modern rock', 'rock']",0Ak6DLKHtpR6TEEnmcorKA,1
Skee-Lo,55Pp4Ns5VfTSFsBraW7MQy,56,"['hip hop', 'rap', 'west coast rap']",55Pp4Ns5VfTSFsBraW7MQy,1
San Fermin,7fSnislKgW9Mz0YIqWQmGt,47,"['brooklyn indie', 'chamber pop', 'indie pop', 'stomp and holler']",7fSnislKgW9Mz0YIqWQmGt,1
Sum 41,0qT79UgT5tY4yudH9VfsdT,74,"['canadian pop punk', 'canadian punk', 'punk', 'rock']",0qT79UgT5tY4yudH9VfsdT,1
Regina Spektor,3z6Gk257P9jNcZbBXJNX5i,67,"['indie pop', 'lilith', 'piano rock']",3z6Gk257P9jNcZbBXJNX5i,1
Bohdi,1BdyAzMmvtayz03WAyS9MO,35,[],1BdyAzMmvtayz03WAyS9MO,1
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh,89,"['modern alternative rock', 'modern rock', 'pop']",77SW9BnxLY8rJ0RciFqkHh,1
Matt and Kim,4MSMDY0ClgWqXApU53I1L1,63,"['brooklyn indie', 'indie pop', 'indie rock', 'indietronica', 'modern alternative rock', 'modern rock', 'pop rock']",4MSMDY0ClgWqXApU53I1L1,1
Bob Dylan,74ASZWbe4lXaubB36ztrGX,76,"['classic rock', 'country rock', 'folk', 'folk rock', 'indie r&b', 'rock', 'roots rock', 'singer-songwriter']",74ASZWbe4lXaubB36ztrGX,1
Cold War Kids,6VDdCwrBM4qQaGxoAyxyJC,66,"['alternative rock', 'indie pop', 'indie rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'piano rock', 'pop rock', 'rock', 'stomp and holler']",6VDdCwrBM4qQaGxoAyxyJC,1
Johnny Cash,6kACVPfCOnqzgfEF5ryl0x,78,"['arkansas country', 'outlaw country']",6kACVPfCOnqzgfEF5ryl0x,1
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],0LyfQWJT6nXafLPZqxe9Of,1
Lil Pøøch,3kPwwCHNDfnZFEnVklrJ1c,0,[],3kPwwCHNDfnZFEnVklrJ1c,1
Boom Forest,2Ij7GjubJdLi813xVxqt9u,38,['la indie'],2Ij7GjubJdLi813xVxqt9u,1
Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,79,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",3eqjTLE0HfPfh78zjh6TqT,1
Buddy Holly,3wYyutjgII8LJVVOLrGI0D,63,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'rock-and-roll', 'rockabilly']",3wYyutjgII8LJVVOLrGI0D,1
Anthony D'Amato,1oplL2hHYq7CQykvSbd6gy,33,"['new jersey indie', 'stomp and holler']",1oplL2hHYq7CQykvSbd6gy,1
The Dip,2qFOYqFxPaIwEnffVhJhEn,58,"['deep new americana', 'funk', 'retro soul']",2qFOYqFxPaIwEnffVhJhEn,1
Stelth Ulvang,3EoKE25P37EuEU2VcBbZUE,33,[],3EoKE25P37EuEU2VcBbZUE,1
Green Day,7oPftvlwr6VrsViSDV7fJY,83,"['permanent wave', 'punk']",7oPftvlwr6VrsViSDV7fJY,1
Jackson C. Frank,5TNmizItgJPfvCoPKXAMGz,48,"['american folk revival', 'folk', 'folk rock']",5TNmizItgJPfvCoPKXAMGz,1
Of Monsters and Men,4dwdTW1Lfiq0cM8nBAqIIz,73,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",4dwdTW1Lfiq0cM8nBAqIIz,1
Black Sheep,0NnCgUxhtWt1yBtpDyvFQf,48,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap', 'turntablism']",0NnCgUxhtWt1yBtpDyvFQf,1
St. South,1n3X60xWCyL1zytSiKeu4D,46,['vapor soul'],1n3X60xWCyL1zytSiKeu4D,1
Fever Fever,6KpvVOQbSS6VLQgBNvTHBc,31,[],6KpvVOQbSS6VLQgBNvTHBc,1
Various Artists,0LyfQWJT6nXafLPZqxe9Of,0,[],0LyfQWJT6nXafLPZqxe9Of,1
Barenaked Ladies,0dEvJpkqhrcn64d3oI8v79,64,"['canadian pop', 'canadian rock', 'comic', 'pop rock']",0dEvJpkqhrcn64d3oI8v79,1
The Lumineers,16oZKvXb6WkQlVAjwo2Wbg,81,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",16oZKvXb6WkQlVAjwo2Wbg,1
Atta Boy,3RcaUsjj5gt1x2QK3TSNS2,45,"['deep new americana', 'indie pop']",3RcaUsjj5gt1x2QK3TSNS2,1
Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,81,"['ambient pop', 'dream pop', 'el paso indie', 'shoegaze']",1QAJqy2dA3ihHBFIHRphZj,1
Josh Ritter,6igfLpd8s6DBBAuwebRUuo,53,"['acoustic pop', 'alternative country', 'deep new americana', 'folk', 'indie folk', 'modern folk rock', 'new americana', 'roots rock', 'stomp and holler']",6igfLpd8s6DBBAuwebRUuo,1
Sonny Cleveland,068h66CFkNBvqw5SaIQ3ZA,41,"['deep new americana', 'retro soul']",068h66CFkNBvqw5SaIQ3ZA,1
The Paper Kites,79hrYiudVcFyyxyJW0ipTy,68,"['australian indie folk', 'indie folk', 'pop rock', 'stomp and holler']",79hrYiudVcFyyxyJW0ipTy,1
The White Stripes,4F84IBURUo98rz4r61KF70,75,"['alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock']",4F84IBURUo98rz4r61KF70,1
Still Woozy,4iMO20EPodreIaEl8qW66y,74,"['bedroom pop', 'oakland indie']",4iMO20EPodreIaEl8qW66y,1
Heart,34jw2BbxjoYalTp8cJFCPv,70,"['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'rock', 'soft rock']",34jw2BbxjoYalTp8cJFCPv,1
R.E.M.,4KWTAlx2RvbpseOGMEmROg,77,"['alternative rock', 'athens indie', 'permanent wave', 'pop rock', 'rock']",4KWTAlx2RvbpseOGMEmROg,1
Queen,1dfeR4HaWDbWqFHLkxsg1d,88,"['classic rock', 'glam rock', 'rock']",1dfeR4HaWDbWqFHLkxsg1d,1
The Heavy,0bZCak2tcRMY1dzEIuwF42,63,"['bath indie', 'garage rock', 'modern alternative rock', 'modern blues rock', 'modern rock', 'rock']",0bZCak2tcRMY1dzEIuwF42,1
Wild Child,1xLMexpeeTKQ20SwGMaGSK,55,"['austin americana', 'austindie', 'deep new americana', 'folk-pop', 'indie folk', 'new americana', 'stomp and holler']",1xLMexpeeTKQ20SwGMaGSK,1
Cage The Elephant,26T3LtbuGT1Fu9m0eRq5X3,79,"['modern rock', 'punk blues', 'rock']",26T3LtbuGT1Fu9m0eRq5X3,1
