danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.623,0.516,11,-11.547,0,0.0342,0.524,2.24e-06,0.153,0.596,140.09,audio_features,4jfq7rJdNS77eNIKOmxS1B,spotify:track:4jfq7rJdNS77eNIKOmxS1B,https://api.spotify.com/v1/tracks/4jfq7rJdNS77eNIKOmxS1B,https://api.spotify.com/v1/audio-analysis/4jfq7rJdNS77eNIKOmxS1B,199000,4
0.726,0.36,1,-12.151,0,0.0381,0.779,0.13,0.153,0.399,84.98,audio_features,4YoRy5NgujgYWVnXTtX6tl,spotify:track:4YoRy5NgujgYWVnXTtX6tl,https://api.spotify.com/v1/tracks/4YoRy5NgujgYWVnXTtX6tl,https://api.spotify.com/v1/audio-analysis/4YoRy5NgujgYWVnXTtX6tl,320413,4
0.749,0.359,5,-14.822,1,0.0518,0.826,0.078,0.12,0.241,90.023,audio_features,6jGMARI9mlKw93FT8wOnNa,spotify:track:6jGMARI9mlKw93FT8wOnNa,https://api.spotify.com/v1/tracks/6jGMARI9mlKw93FT8wOnNa,https://api.spotify.com/v1/audio-analysis/6jGMARI9mlKw93FT8wOnNa,344946,4
0.708,0.602,6,-10.114,0,0.0322,0.374,0.00868,0.0933,0.773,120.061,audio_features,1qQmbloP2MwRT7sXaiXpJn,spotify:track:1qQmbloP2MwRT7sXaiXpJn,https://api.spotify.com/v1/tracks/1qQmbloP2MwRT7sXaiXpJn,https://api.spotify.com/v1/audio-analysis/1qQmbloP2MwRT7sXaiXpJn,205000,4
0.551,0.205,3,-17.291,1,0.0458,0.866,0.000937,0.109,0.602,145.835,audio_features,108Q7fPYVSeLbPu2fKcbK5,spotify:track:108Q7fPYVSeLbPu2fKcbK5,https://api.spotify.com/v1/tracks/108Q7fPYVSeLbPu2fKcbK5,https://api.spotify.com/v1/audio-analysis/108Q7fPYVSeLbPu2fKcbK5,153000,4
0.725,0.413,11,-14.875,0,0.0393,0.68,0.0987,0.121,0.443,114.039,audio_features,0QhSZUOfYDgbvQ4Y5YqDOg,spotify:track:0QhSZUOfYDgbvQ4Y5YqDOg,https://api.spotify.com/v1/tracks/0QhSZUOfYDgbvQ4Y5YqDOg,https://api.spotify.com/v1/audio-analysis/0QhSZUOfYDgbvQ4Y5YqDOg,416053,4
0.697,0.557,10,-12.031,1,0.0442,0.741,0.0351,0.409,0.768,130.035,audio_features,6iLv8m61uKbuOvyKH4FOzp,spotify:track:6iLv8m61uKbuOvyKH4FOzp,https://api.spotify.com/v1/tracks/6iLv8m61uKbuOvyKH4FOzp,https://api.spotify.com/v1/audio-analysis/6iLv8m61uKbuOvyKH4FOzp,294280,4
0.804,0.638,2,-11.706,1,0.0512,0.777,0.212,0.0917,0.757,112.034,audio_features,7c2GrHY64QwqefqnA2L1dm,spotify:track:7c2GrHY64QwqefqnA2L1dm,https://api.spotify.com/v1/tracks/7c2GrHY64QwqefqnA2L1dm,https://api.spotify.com/v1/audio-analysis/7c2GrHY64QwqefqnA2L1dm,344640,4
0.5,0.815,7,-5.878,1,0.0347,0.0134,0.345,0.156,0.443,149.977,audio_features,1PLafcVa5BR4rWWd2yMmki,spotify:track:1PLafcVa5BR4rWWd2yMmki,https://api.spotify.com/v1/tracks/1PLafcVa5BR4rWWd2yMmki,https://api.spotify.com/v1/audio-analysis/1PLafcVa5BR4rWWd2yMmki,193547,4
0.636,0.15,7,-13.494,1,0.0334,0.984,0.0564,0.107,0.528,136.547,audio_features,2Fx49nU1bhXboFOxR6ifJZ,spotify:track:2Fx49nU1bhXboFOxR6ifJZ,https://api.spotify.com/v1/tracks/2Fx49nU1bhXboFOxR6ifJZ,https://api.spotify.com/v1/audio-analysis/2Fx49nU1bhXboFOxR6ifJZ,109840,1
