acousticness,danceability,duration_ms,energy,id,instrumentalness,key_1,key_10,key_11,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,likable,liveness,loudness,mode,speechiness,tempo,time_signature_0time_signature_1time_signature_3,time_signature_3,time_signature_4,time_signature_5,time_signature_6,time_signature_7valence,valence
0.096,0.616,227080,0.656,3n69hLUdIsSa1WlRmjMZlW,0.000879,0,0,0,0,0,0,1,0,0,0,0,1,0.205,-7.298,1,0.0344,150.071,0,0,1,0,0,0,0.286
0.753,0.688,241053,0.697,7HNpXPaTcX5CoNBjTAEWBr,6.21e-05,0,0,0,0,0,0,0,0,0,0,1,1,0.109,-7.955,1,0.0485,114.03,0,0,1,0,0,0,0.46
0.0632,0.476,206237,0.415,74MVdBnDdBRmj3JBCdlFoZ,5.66e-06,0,0,0,0,0,0,0,0,0,0,1,1,0.0537,-7.199,1,0.0406,115.807,0,0,1,0,0,0,0.368
0.838,0.402,360093,0.539,3USei2Ja58VV6yOypYNjfN,6.86e-05,0,1,0,0,0,0,0,0,0,0,0,1,0.131,-7.567,1,0.035,108.869,0,0,1,0,0,0,0.179
0.791,0.444,284907,0.243,6zVBxCYJkiLwIMx584eyu6,2.42e-06,0,0,0,1,0,0,0,0,0,0,0,1,0.175,-10.609,1,0.0303,90.518,0,0,1,0,0,0,0.0896
0.0439,0.642,258907,0.767,0b16PJlDwSaBPqM9uyyujg,0.00176,0,0,0,0,0,0,0,0,0,0,1,1,0.0874,-8.648,1,0.0327,113.3,0,0,1,0,0,0,0.662
0.487,0.254,206400,0.928,1QesQ27kCWYTYuXJi8SApS,1.33e-05,0,0,0,0,0,0,0,0,0,0,1,1,0.112,-5.885,0,0.318,189.451,0,0,1,0,0,0,0.327
0.0216,0.599,230067,0.945,4jRw59FUxw8KVd29qaaWfk,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0.0995,-6.288,0,0.0537,100.006,0,0,1,0,0,0,0.515
0.908,0.809,163240,0.52,6TWPAG7Oam1mdut6Ov77qh,0.125,0,0,0,0,0,0,0,0,1,0,0,1,0.308,-9.828,1,0.0322,95.031,0,0,1,0,0,0,0.585
0.855,0.578,113493,0.579,74giZwNMPKn0r537TEHHXj,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.201,-2.951,0,0.141,78.544,0,0,1,0,0,0,0.599
