danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,likable
0.446,0.555,1,-5.982,1,0.03,0.629,0.0,0.107,0.438,78.83,audio_features,1gbgwb8AwRo9i42YaqWnj2,spotify:track:1gbgwb8AwRo9i42YaqWnj2,https://api.spotify.com/v1/tracks/1gbgwb8AwRo9i42YaqWnj2,https://api.spotify.com/v1/audio-analysis/1gbgwb8AwRo9i42YaqWnj2,204149,4,1
0.601,0.471,8,-7.099,1,0.0384,0.823,1.39e-06,0.0972,0.557,88.081,audio_features,45I4rYlEhr2iEzxHHB5CnB,spotify:track:45I4rYlEhr2iEzxHHB5CnB,https://api.spotify.com/v1/tracks/45I4rYlEhr2iEzxHHB5CnB,https://api.spotify.com/v1/audio-analysis/45I4rYlEhr2iEzxHHB5CnB,202617,4,1
0.529,0.768,7,-5.51,1,0.0566,0.00224,0.00075,0.297,0.769,127.316,audio_features,6yl8Es1tCYD9WdSkeVLFw4,spotify:track:6yl8Es1tCYD9WdSkeVLFw4,https://api.spotify.com/v1/tracks/6yl8Es1tCYD9WdSkeVLFw4,https://api.spotify.com/v1/audio-analysis/6yl8Es1tCYD9WdSkeVLFw4,210880,4,1
0.429,0.093,3,-15.944,1,0.0433,0.882,0.00703,0.111,0.208,129.661,audio_features,5qW6ZYct54PhKliCntyxRX,spotify:track:5qW6ZYct54PhKliCntyxRX,https://api.spotify.com/v1/tracks/5qW6ZYct54PhKliCntyxRX,https://api.spotify.com/v1/audio-analysis/5qW6ZYct54PhKliCntyxRX,293973,3,1
0.64,0.743,10,-4.08,1,0.0379,0.269,0.0,0.101,0.361,122.035,audio_features,5fVZC9GiM4e8vu99W0Xf6J,spotify:track:5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/tracks/5fVZC9GiM4e8vu99W0Xf6J,https://api.spotify.com/v1/audio-analysis/5fVZC9GiM4e8vu99W0Xf6J,262533,4,1
0.582,0.249,9,-11.946,1,0.0404,0.868,0.000504,0.0784,0.218,70.74,audio_features,3qjFQgpVZ2VX0xHJKm8c6i,spotify:track:3qjFQgpVZ2VX0xHJKm8c6i,https://api.spotify.com/v1/tracks/3qjFQgpVZ2VX0xHJKm8c6i,https://api.spotify.com/v1/audio-analysis/3qjFQgpVZ2VX0xHJKm8c6i,275682,4,1
0.417,0.697,2,-7.095,1,0.116,0.0181,0.00011,0.141,0.198,99.872,audio_features,6CjbLEPcubhGJAlAQAruvo,spotify:track:6CjbLEPcubhGJAlAQAruvo,https://api.spotify.com/v1/tracks/6CjbLEPcubhGJAlAQAruvo,https://api.spotify.com/v1/audio-analysis/6CjbLEPcubhGJAlAQAruvo,237483,4,1
0.541,0.814,6,-7.586,0,0.0538,0.0124,0.000154,0.28,0.414,80.014,audio_features,4BCoS3K75lpvph7Lu00iKY,spotify:track:4BCoS3K75lpvph7Lu00iKY,https://api.spotify.com/v1/tracks/4BCoS3K75lpvph7Lu00iKY,https://api.spotify.com/v1/audio-analysis/4BCoS3K75lpvph7Lu00iKY,187653,4,1
0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,audio_features,3mNecsYFb6LQg7822DPXCP,spotify:track:3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/tracks/3mNecsYFb6LQg7822DPXCP,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP,189333,4,1
0.448,0.783,10,-9.03,1,0.0381,0.441,0.0148,0.339,0.51,109.246,audio_features,6gKAjxAV0LvphJD1F54L9w,spotify:track:6gKAjxAV0LvphJD1F54L9w,https://api.spotify.com/v1/tracks/6gKAjxAV0LvphJD1F54L9w,https://api.spotify.com/v1/audio-analysis/6gKAjxAV0LvphJD1F54L9w,251760,4,1
0.252,0.977,9,-1.663,0,0.135,0.692,0.000426,0.596,0.459,94.885,audio_features,3AFeX7RsYJzNKChOTA3vPf,spotify:track:3AFeX7RsYJzNKChOTA3vPf,https://api.spotify.com/v1/tracks/3AFeX7RsYJzNKChOTA3vPf,https://api.spotify.com/v1/audio-analysis/3AFeX7RsYJzNKChOTA3vPf,111133,4,1
0.408,0.41,11,-14.931,0,0.0536,0.604,0.722,0.142,0.328,88.781,audio_features,19i39VkE2HdfiHLvGKS0xJ,spotify:track:19i39VkE2HdfiHLvGKS0xJ,https://api.spotify.com/v1/tracks/19i39VkE2HdfiHLvGKS0xJ,https://api.spotify.com/v1/audio-analysis/19i39VkE2HdfiHLvGKS0xJ,366600,3,1
0.536,0.775,8,-6.765,1,0.0394,0.228,0.000143,0.0947,0.485,151.393,audio_features,3MvtzgklFDhOAC3lQJR09S,spotify:track:3MvtzgklFDhOAC3lQJR09S,https://api.spotify.com/v1/tracks/3MvtzgklFDhOAC3lQJR09S,https://api.spotify.com/v1/audio-analysis/3MvtzgklFDhOAC3lQJR09S,201413,4,1
0.217,0.905,2,-4.103,1,0.0752,0.000289,0.00011,0.222,0.236,96.95,audio_features,5wQnmLuC1W7ATsArWACrgW,spotify:track:5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/tracks/5wQnmLuC1W7ATsArWACrgW,https://api.spotify.com/v1/audio-analysis/5wQnmLuC1W7ATsArWACrgW,311107,4,1
0.693,0.392,8,-10.69,1,0.0295,0.211,0.357,0.128,0.0811,119.973,audio_features,4r3BiHctyraj2y4meUgq8V,spotify:track:4r3BiHctyraj2y4meUgq8V,https://api.spotify.com/v1/tracks/4r3BiHctyraj2y4meUgq8V,https://api.spotify.com/v1/audio-analysis/4r3BiHctyraj2y4meUgq8V,182000,4,1
0.814,0.634,4,-13.051,1,0.0498,0.417,0.00364,0.14,0.645,121.98,audio_features,15Q6UkZSwelcujItCEaidK,spotify:track:15Q6UkZSwelcujItCEaidK,https://api.spotify.com/v1/tracks/15Q6UkZSwelcujItCEaidK,https://api.spotify.com/v1/audio-analysis/15Q6UkZSwelcujItCEaidK,327733,4,1
0.551,0.839,9,-4.555,1,0.0787,0.0818,0.0,0.151,0.681,116.051,audio_features,79DO6dBi8936P6EShLB209,spotify:track:79DO6dBi8936P6EShLB209,https://api.spotify.com/v1/tracks/79DO6dBi8936P6EShLB209,https://api.spotify.com/v1/audio-analysis/79DO6dBi8936P6EShLB209,144013,4,1
0.405,0.689,10,-5.75,1,0.0365,0.0843,0.0,0.207,0.397,155.189,audio_features,1S30kHvkkdMkcuCTGSgS41,spotify:track:1S30kHvkkdMkcuCTGSgS41,https://api.spotify.com/v1/tracks/1S30kHvkkdMkcuCTGSgS41,https://api.spotify.com/v1/audio-analysis/1S30kHvkkdMkcuCTGSgS41,191560,4,1
0.426,0.634,4,-7.116,1,0.0341,0.404,0.00356,0.222,0.284,98.925,audio_features,0dqJjKKxuKD5Dt3QH2n4CG,spotify:track:0dqJjKKxuKD5Dt3QH2n4CG,https://api.spotify.com/v1/tracks/0dqJjKKxuKD5Dt3QH2n4CG,https://api.spotify.com/v1/audio-analysis/0dqJjKKxuKD5Dt3QH2n4CG,257693,4,1
0.404,0.508,8,-5.893,0,0.0265,0.952,0.000807,0.164,0.278,143.911,audio_features,1pwCB34vdjFdqL3PyeEhKS,spotify:track:1pwCB34vdjFdqL3PyeEhKS,https://api.spotify.com/v1/tracks/1pwCB34vdjFdqL3PyeEhKS,https://api.spotify.com/v1/audio-analysis/1pwCB34vdjFdqL3PyeEhKS,294933,4,1
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,audio_features,78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250,4,1
0.57,0.866,7,-4.587,0,0.0344,0.00332,0.000709,0.116,0.477,81.995,audio_features,0z3Sa7vtRfn4ywaHzZzBLK,spotify:track:0z3Sa7vtRfn4ywaHzZzBLK,https://api.spotify.com/v1/tracks/0z3Sa7vtRfn4ywaHzZzBLK,https://api.spotify.com/v1/audio-analysis/0z3Sa7vtRfn4ywaHzZzBLK,207227,4,1
0.593,0.263,4,-14.029,0,0.0567,0.844,5.36e-06,0.127,0.109,76.379,audio_features,2cbic3TiUENlJX91y67ARR,spotify:track:2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/tracks/2cbic3TiUENlJX91y67ARR,https://api.spotify.com/v1/audio-analysis/2cbic3TiUENlJX91y67ARR,238520,4,1
0.699,0.719,9,-9.483,1,0.0312,0.118,0.00263,0.0913,0.831,138.957,audio_features,0s9aeZriwqyBYfxFzsd20R,spotify:track:0s9aeZriwqyBYfxFzsd20R,https://api.spotify.com/v1/tracks/0s9aeZriwqyBYfxFzsd20R,https://api.spotify.com/v1/audio-analysis/0s9aeZriwqyBYfxFzsd20R,232893,4,1
0.701,0.813,1,-7.889,1,0.15,0.355,0.0,0.136,0.52,97.865,audio_features,2SOiMOSTTgwgcOFNgLVTV4,spotify:track:2SOiMOSTTgwgcOFNgLVTV4,https://api.spotify.com/v1/tracks/2SOiMOSTTgwgcOFNgLVTV4,https://api.spotify.com/v1/audio-analysis/2SOiMOSTTgwgcOFNgLVTV4,200173,4,1
0.379,0.879,1,-4.336,0,0.0362,0.0421,0.00449,0.146,0.37,102.021,audio_features,60ZGteAEtPCnGE6zevgUcd,spotify:track:60ZGteAEtPCnGE6zevgUcd,https://api.spotify.com/v1/tracks/60ZGteAEtPCnGE6zevgUcd,https://api.spotify.com/v1/audio-analysis/60ZGteAEtPCnGE6zevgUcd,211453,4,1
0.282,0.253,10,-13.063,1,0.0387,0.966,3.75e-05,0.212,0.222,128.008,audio_features,5YUrp2qRBZxa87W3JYo65Q,spotify:track:5YUrp2qRBZxa87W3JYo65Q,https://api.spotify.com/v1/tracks/5YUrp2qRBZxa87W3JYo65Q,https://api.spotify.com/v1/audio-analysis/5YUrp2qRBZxa87W3JYo65Q,243480,3,1
0.315,0.296,0,-9.899,1,0.0281,0.85,0.0118,0.101,0.0997,98.833,audio_features,5Civg4JEWHLe2gqMG5vW6E,spotify:track:5Civg4JEWHLe2gqMG5vW6E,https://api.spotify.com/v1/tracks/5Civg4JEWHLe2gqMG5vW6E,https://api.spotify.com/v1/audio-analysis/5Civg4JEWHLe2gqMG5vW6E,216605,4,1
0.479,0.433,2,-5.694,1,0.0333,0.8,0.0,0.14,0.317,120.444,audio_features,1cu5PHumWAqQf9M6BHQ8b7,spotify:track:1cu5PHumWAqQf9M6BHQ8b7,https://api.spotify.com/v1/tracks/1cu5PHumWAqQf9M6BHQ8b7,https://api.spotify.com/v1/audio-analysis/1cu5PHumWAqQf9M6BHQ8b7,348533,4,1
0.636,0.703,10,-8.608,1,0.0403,0.0261,6.5e-06,0.13,0.397,132.022,audio_features,4POCRz9y99h0byT7T3LDYd,spotify:track:4POCRz9y99h0byT7T3LDYd,https://api.spotify.com/v1/tracks/4POCRz9y99h0byT7T3LDYd,https://api.spotify.com/v1/audio-analysis/4POCRz9y99h0byT7T3LDYd,266397,4,1
0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01e-06,0.21,0.452,93.24,audio_features,4z9Q8bigTEySh8PVNQ3gem,spotify:track:4z9Q8bigTEySh8PVNQ3gem,https://api.spotify.com/v1/tracks/4z9Q8bigTEySh8PVNQ3gem,https://api.spotify.com/v1/audio-analysis/4z9Q8bigTEySh8PVNQ3gem,209558,4,1
0.766,0.381,8,-9.499,1,0.0326,0.191,0.003,0.126,0.4,106.029,audio_features,18Pz69u4fXrBrnLnRc3C7K,spotify:track:18Pz69u4fXrBrnLnRc3C7K,https://api.spotify.com/v1/tracks/18Pz69u4fXrBrnLnRc3C7K,https://api.spotify.com/v1/audio-analysis/18Pz69u4fXrBrnLnRc3C7K,188560,4,1
0.583,0.38,7,-17.607,1,0.0482,0.376,0.00685,0.0676,0.529,81.892,audio_features,3uHpPWsNDTpbbqedCRoaQU,spotify:track:3uHpPWsNDTpbbqedCRoaQU,https://api.spotify.com/v1/tracks/3uHpPWsNDTpbbqedCRoaQU,https://api.spotify.com/v1/audio-analysis/3uHpPWsNDTpbbqedCRoaQU,201133,4,1
0.738,0.817,5,-4.19,1,0.157,0.26,0.0,0.218,0.733,100.109,audio_features,4PmGRg8wtYI2cJx0HwAPAJ,spotify:track:4PmGRg8wtYI2cJx0HwAPAJ,https://api.spotify.com/v1/tracks/4PmGRg8wtYI2cJx0HwAPAJ,https://api.spotify.com/v1/audio-analysis/4PmGRg8wtYI2cJx0HwAPAJ,129289,4,1
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,audio_features,1mea3bSkSGXuIRvnydlB5b,spotify:track:1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/tracks/1mea3bSkSGXuIRvnydlB5b,https://api.spotify.com/v1/audio-analysis/1mea3bSkSGXuIRvnydlB5b,242373,4,1
0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,audio_features,4kbj5MwxO1bq9wjT5g9HaA,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,199080,4,1
0.483,0.486,0,-11.062,1,0.0434,0.753,0.00479,0.134,0.466,92.048,audio_features,6255IIBwKySv6RYrOeHfQh,spotify:track:6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/tracks/6255IIBwKySv6RYrOeHfQh,https://api.spotify.com/v1/audio-analysis/6255IIBwKySv6RYrOeHfQh,193049,4,1
0.727,0.48,5,-9.278,0,0.0987,0.444,0.0,0.118,0.369,120.025,audio_features,16ro1is6DmDKkarlJMBbzV,spotify:track:16ro1is6DmDKkarlJMBbzV,https://api.spotify.com/v1/tracks/16ro1is6DmDKkarlJMBbzV,https://api.spotify.com/v1/audio-analysis/16ro1is6DmDKkarlJMBbzV,269053,4,1
0.468,0.692,2,-4.015,1,0.0295,0.0202,2.39e-06,0.523,0.561,78.009,audio_features,0aGSUNleFqs5HNEJcwqvXJ,spotify:track:0aGSUNleFqs5HNEJcwqvXJ,https://api.spotify.com/v1/tracks/0aGSUNleFqs5HNEJcwqvXJ,https://api.spotify.com/v1/audio-analysis/0aGSUNleFqs5HNEJcwqvXJ,200360,4,1
0.577,0.846,10,-7.606,0,0.0351,0.0356,2.77e-05,0.0814,0.693,115.087,audio_features,5T545E02gCrnhkPoHXJPxK,spotify:track:5T545E02gCrnhkPoHXJPxK,https://api.spotify.com/v1/tracks/5T545E02gCrnhkPoHXJPxK,https://api.spotify.com/v1/audio-analysis/5T545E02gCrnhkPoHXJPxK,134900,4,1
0.465,0.657,8,-6.739,1,0.0415,0.0395,8.37e-06,0.0746,0.812,95.155,audio_features,5QrdZVVH6U5zTaGTl33zYR,spotify:track:5QrdZVVH6U5zTaGTl33zYR,https://api.spotify.com/v1/tracks/5QrdZVVH6U5zTaGTl33zYR,https://api.spotify.com/v1/audio-analysis/5QrdZVVH6U5zTaGTl33zYR,208701,4,1
0.702,0.66,1,-6.206,0,0.0442,0.0301,0.00187,0.0931,0.567,145.005,audio_features,3RHxEG6JqPKNesUpEv3FUg,spotify:track:3RHxEG6JqPKNesUpEv3FUg,https://api.spotify.com/v1/tracks/3RHxEG6JqPKNesUpEv3FUg,https://api.spotify.com/v1/audio-analysis/3RHxEG6JqPKNesUpEv3FUg,180897,4,1
0.557,0.407,7,-11.361,1,0.0457,0.402,0.0,0.0638,0.793,180.919,audio_features,5sIBOrRLBI6ypREdEPj2wQ,spotify:track:5sIBOrRLBI6ypREdEPj2wQ,https://api.spotify.com/v1/tracks/5sIBOrRLBI6ypREdEPj2wQ,https://api.spotify.com/v1/audio-analysis/5sIBOrRLBI6ypREdEPj2wQ,157587,4,1
0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,audio_features,7oK9VyNzrYvRFo7nQEYkWN,spotify:track:7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/tracks/7oK9VyNzrYvRFo7nQEYkWN,https://api.spotify.com/v1/audio-analysis/7oK9VyNzrYvRFo7nQEYkWN,222587,4,1
0.47,0.623,0,-5.655,1,0.0302,0.392,0.000439,0.0992,0.298,77.861,audio_features,5n0CTysih20NYdT2S0Wpe8,spotify:track:5n0CTysih20NYdT2S0Wpe8,https://api.spotify.com/v1/tracks/5n0CTysih20NYdT2S0Wpe8,https://api.spotify.com/v1/audio-analysis/5n0CTysih20NYdT2S0Wpe8,225973,4,1
0.862,0.663,0,-9.004,1,0.21,0.12,0.0,0.318,0.837,85.308,audio_features,1MQCTOWVfy4PcuBXkBsHVB,spotify:track:1MQCTOWVfy4PcuBXkBsHVB,https://api.spotify.com/v1/tracks/1MQCTOWVfy4PcuBXkBsHVB,https://api.spotify.com/v1/audio-analysis/1MQCTOWVfy4PcuBXkBsHVB,238267,4,1
0.656,0.677,2,-6.929,1,0.0285,0.391,1.92e-06,0.118,0.57,112.014,audio_features,2PlP2rRrgSz8lC7MpH3e4e,spotify:track:2PlP2rRrgSz8lC7MpH3e4e,https://api.spotify.com/v1/tracks/2PlP2rRrgSz8lC7MpH3e4e,https://api.spotify.com/v1/audio-analysis/2PlP2rRrgSz8lC7MpH3e4e,210747,4,1
